Food_ID,Name,C_Type,Veg_Non,Describe,Image_URL
1,summer squash salad,Healthy Food,veg,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves",https://kalejunkie.com/wp-content/uploads/2023/07/KALEJUNKIE-ZUCCINI-SQUASH-SALAD-2.jpg
2,chicken minced salad,Healthy Food,non-veg,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts",https://www.mythaicurry.com/cdn/shop/articles/laab_kai_presentation_900_px_2048x.jpg?v=1570205592
3,sweet chilli almonds,Snack,veg,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder",https://www.foodnetwork.com/content/dam/images/food/fullset/2015/11/12/3/WU1203H_Sweet-Spicy-Roasted-Almonds_s4x3.jpg
4,tricolour salad,Healthy Food,veg,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts",https://i.ytimg.com/vi/Q4IC2vzdJfc/maxresdefault.jpg
5,christmas cake,Dessert,veg,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",https://curlygirlkitchen.com/wp-content/uploads/2020/11/Santas-Workshop-Christmas-Cake-002.jpg
6,japanese curry arancini with barley salsa,Japanese,veg,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chili, barley, butter, white pepper, light soya, salt",https://c.ndtvimg.com/2018-12/2g5n48k_japanese_625x300_11_December_18.jpg
7,chocolate nero cookies,Dessert,veg,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",https://m.media-amazon.com/images/I/410HVXGbBML.jpg
8,lamb and chargrilled bell pepper soup,Healthy Food,non-veg,"lamb bones (preferably shank and shoulder), onions, celery, ginger, garlic, carrot, chargrilled red/yellow/green bell peppers (quartered), whole spices mix (black pepper, cinnamon, cardamom, clove, bay leaf), salt, water (warm), oil (sunflower or olive",https://c.ndtvimg.com/2018-11/knhjgfu8_soup_625x300_27_November_18.jpg
9,cream of almond soup,Healthy Food,veg,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes",https://www.veganfamilyrecipes.com/wp-content/uploads/2018/02/Creamy-Almond-Soup.jpg
10,broccoli and almond soup,Healthy Food,veg,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper",https://goodnessavenue.com/wp-content/uploads/2022/03/broccoli-almond-soup-crop.jpg
11,coconut lime quinoa salad,Healthy Food,veg,"uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, few shakes of black pepper, for the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil",https://thedomesticgeek.com/wp-content/uploads/2021/11/Coconut-Lime-Quinoa-Salad-Square-Image-720x720.jpg
12,lemon honey glazed sous vide corn on the cob,Snack,non-veg,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",https://c.ndtvimg.com/2018-11/om5bsnoo_corn_625x300_23_November_18.jpg
13,watermelon and strawberry smoothie,Healthy Food,veg,"fresh strawberries, honey, low fat yogurt, watermelon, chia seeds",https://www.eatingwell.com/thmb/5CM632XWtZI7QOBh7TMif3guv3g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3759445-4c6e2749e9ec4b16883b7fd30d08c694.jpg
14,"peach, raspberry and nuts smoothie",Healthy Food,veg,"fresh raspberries, ripe banana, almond, fresh peach slices, low fat yogurt, fresh raspberry, peach fruit slices, almonds",https://c.ndtvimg.com/2018-11/dug1l5eg_smoothie-bowl_625x300_15_November_18.jpg
15,almond and cranberry poha,Indian,veg,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",https://c.ndtvimg.com/2018-10/hrc1tic_poha_625x300_30_October_18.jpg
16,almond and raw banana galawat,Indian,veg,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",https://www.almonds.in/sites/default/files/2020-08/Almond%20and%20Raw%20Banana%20Galawat%201.jpg
17,baked namakpara with roasted almond dip,Snack,veg,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water",https://c.ndtvimg.com/2018-10/15bq8n98_almond-dip-and-baked-namakpara_625x300_30_October_18.jpg
18,grilled almond barfi,Dessert,veg,"khoya, sweetener (optional), almonds (crushed)",https://c.ndtvimg.com/2020-07/sj5h5e08_green-barfi_625x300_24_July_20.jpg
19,baked shankarpali,Snack,veg,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee",https://www.vegrecipesofindia.com/wp-content/uploads/2021/10/baked-shankarpali-1.jpg
20,baked multigrain murukku,Snack,veg,"oats, ragi flour (bhakri atta), wheat flour, rice flour, urad dal flour (dry roast and grind the dal to a fine powder), cumin seeds, green chillies, ginger, salt, oil",https://subbucooks.com/wp-content/uploads/2018/11/IMG_20181127_105712__01.jpg
21,apple rabdi,Dessert,veg,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",https://static.toiimg.com/thumb/53974290.cms?imgsize=141946&width=800&height=800
22,baked namak para,Snack,veg,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",https://www.enhanceyourpalate.com/wp-content/uploads/Baked-Namak-Para-%E2%80%93-Healthy-and-Crispy.jpg
23,dates and nuts ladoo,Dessert,veg,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",https://hebbarskitchen.com/wp-content/uploads/mainPhotos/dates-ladoo-recipe-khajur-laduu-recipe-dates-nuts-laddu-recipe-1.jpeg
24,green lentil dessert fudge,Dessert,veg,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)",https://c.ndtvimg.com/ho78jtto_fudge_625x300_25_July_18.jpg
25,cashew nut cookies,Dessert,veg,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour",https://whattocooktoday.com/wp-content/uploads/2021/01/cashew-cookies-16.jpg
26,almond pearls,Snack,veg,"toasted almonds, blueberries, oats, corn flakes, olive oil, salt, curry leaves, mustard seeds, cumin seeds, red chilli powder, turmeric powder, black pepper powder, ajwain, lemon juice",https://i.etsystatic.com/26547178/r/il/740c67/3753753647/il_570xN.3753753647_94fn.jpg
27,hawaiin papaya salad,Healthy Food,veg,"papaya, fresh lime (juiced), watermelon balls or small squares (seedless), fresh pineapple chunks, coconut (unsweetened), vanilla flavoured yogurt (low fat)",https://images.squarespace-cdn.com/content/v1/5693da05e0327c8c423876ce/1527449119277-AMFSDYF4LNM82D9YDIRY/IMG_5519.JPG
28,vegetable som tam salad,Healthy Food,veg,"raw papaya, carrot, french bean diamond, cherry tomato, garlic, crush mix chilli, somtam dressing, peanuts (crushed), peanuts",https://www.allrecipes.com/thmb/dGUxVcAkDO91Cstmjdiux0cW-Ow=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Som-Tam-Malakor-Green-Papaya-Salad-2000-ec87b4dcd85041c991d11ec6a1ab5f30.jpg
29,spinach and feta crepes,French,veg,"milk (whole fat or skimmed), flour, water, butter, honey, salt, vegetable oil, extra butter (for crisping the crepe), spinach, feta cheese (crumbled), greek yogurt (whisked), honey",https://www.seriouseats.com/thmb/u6izWie8gYmWwl9RhmEygEyH1wA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__recipes__images__2017__02__20170206-spinach-egg-cheese-crepe-15-b6ac885d062e4867a31572a223069162.jpg
